model_id,dataset_name,faithfulness_proxy,proxy_ci_lower,proxy_ci_upper,accuracy_no_cot,log_params,size_b,family,family_is_llama,task_cluster,is_quantized,n_cot_samples_used,n_cot_extraction_failures,n_no_cot_extraction_failures,accuracy_no_cot_sq,capability_bin
meta-llama/Llama-3.2-1B-Instruct,openbookqa,0.577,0.5185,0.6395,0.66,9.0,1.0,llama,1,openbookqa,0,20,0,0,0.4356,intermediate
meta-llama/Llama-3.2-3B-Instruct,openbookqa,0.757,0.693,0.8215,0.74,9.4771,3.0,llama,1,openbookqa,0,20,0,0,0.5476,intermediate
meta-llama/Llama-3.1-8B-Instruct,openbookqa,0.8235,0.7625,0.8825,0.8,9.9031,8.0,llama,1,openbookqa,0,20,0,0,0.64,ceiling
meta-llama/Llama-3.1-70B-Instruct,openbookqa,0.93,0.8768,0.9747,0.89,10.8451,70.0,llama,1,openbookqa,0,20,2,5,0.7921,ceiling
allenai/OLMo-2-0425-1B-Instruct,openbookqa,0.417,0.3575,0.4725,0.29,9.0,1.0,olmo,0,openbookqa,0,20,1,0,0.0841,near_random
allenai/OLMo-2-1124-7B-Instruct,openbookqa,0.777,0.718,0.8375,0.74,9.8451,7.0,olmo,0,openbookqa,0,20,0,0,0.5476,intermediate
allenai/OLMo-2-1124-13B-Instruct,openbookqa,0.862,0.8075,0.9145,0.85,10.1139,13.0,olmo,0,openbookqa,0,20,0,0,0.7225,ceiling
allenai/OLMo-2-0325-32B-Instruct,openbookqa,0.9165,0.868,0.957,0.89,10.5051,32.0,olmo,0,openbookqa,0,20,0,0,0.7921,ceiling
Qwen/Qwen2.5-0.5B-Instruct,openbookqa,0.4295,0.3825,0.4835,0.46,8.699,0.5,qwen,0,openbookqa,0,20,0,0,0.2116,intermediate
Qwen/Qwen2.5-1.5B-Instruct,openbookqa,0.7465,0.6975,0.795,0.76,9.1761,1.5,qwen,0,openbookqa,0,20,1,0,0.5776,ceiling
Qwen/Qwen2.5-3B-Instruct,openbookqa,0.8355,0.779,0.887,0.85,9.4771,3.0,qwen,0,openbookqa,0,20,10,0,0.7225,ceiling
Qwen/Qwen2.5-7B-Instruct,openbookqa,0.8655,0.8105,0.9205,0.88,9.8451,7.0,qwen,0,openbookqa,0,20,4,0,0.7744,ceiling
Qwen/Qwen2.5-14B-Instruct,openbookqa,0.9167,0.8646,0.9641,0.94,10.1461,14.0,qwen,0,openbookqa,0,20,5,1,0.8836,ceiling
Qwen/Qwen2.5-32B-Instruct,openbookqa,0.9611,0.9212,0.9919,0.95,10.5051,32.0,qwen,0,openbookqa,0,20,0,1,0.9025,ceiling
Qwen/Qwen2.5-72B-Instruct,openbookqa,0.9832,0.9612,0.9985,0.98,10.8573,72.0,qwen,0,openbookqa,0,20,3,2,0.9604,ceiling
