model_id,dataset_name,faithfulness_proxy,proxy_ci_lower,proxy_ci_upper,accuracy_no_cot,log_params,size_b,family,family_is_llama,task_cluster,is_quantized,n_cot_samples_used,n_cot_extraction_failures,n_no_cot_extraction_failures,accuracy_no_cot_sq,k,ci_width
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,aqua,0.4529,0.3626,0.5363,0.41,10.8451,70.0,llama,1,aqua,1,50,98,2,0.1681,50,0.1737
Qwen/Qwen2.5-0.5B-Instruct,aqua,0.228,0.1986,0.2576,0.19,8.699,0.5,qwen,0,aqua,0,50,37,0,0.0361,50,0.059
Qwen/Qwen2.5-1.5B-Instruct,aqua,0.3032,0.2404,0.3655,0.39,9.1761,1.5,qwen,0,aqua,0,50,30,1,0.1521,50,0.1251
Qwen/Qwen2.5-3B-Instruct,aqua,0.3564,0.2809,0.435,0.33,9.4771,3.0,qwen,0,aqua,0,50,0,0,0.1089,50,0.1541
Qwen/Qwen2.5-7B-Instruct,aqua,0.4434,0.3535,0.5378,0.4,9.8451,7.0,qwen,0,aqua,0,50,0,1,0.16,50,0.1843
Qwen/Qwen2.5-14B-Instruct,aqua,0.5547,0.464,0.6473,0.53,10.1461,14.0,qwen,0,aqua,0,50,0,1,0.2809,50,0.1833
Qwen/Qwen2.5-32B-Instruct,aqua,0.621,0.5305,0.7107,0.58,10.5051,32.0,qwen,0,aqua,0,50,2,1,0.3364,50,0.1802
Qwen/Qwen2.5-72B-Instruct-AWQ,aqua,0.6145,0.5188,0.7002,0.57,10.8573,72.0,qwen,0,aqua,1,50,6,1,0.3249,50,0.1814
meta-llama/Llama-3.2-1B-Instruct,arc_challenge,0.4898,0.432,0.5476,0.48,9.0,1.0,llama,1,arc_challenge,0,50,2,0,0.2304,50,0.1156
meta-llama/Llama-3.2-3B-Instruct,arc_challenge,0.6998,0.6308,0.7664,0.63,9.4771,3.0,llama,1,arc_challenge,0,50,0,0,0.3969,50,0.1356
meta-llama/Llama-3.1-8B-Instruct,arc_challenge,0.7842,0.7128,0.8452,0.7,9.9031,8.0,llama,1,arc_challenge,0,50,0,0,0.49,50,0.1324
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,arc_challenge,0.9028,0.8504,0.9486,0.87,10.8451,70.0,llama,1,arc_challenge,1,50,15,0,0.7569,50,0.0982
